"Data Element (Field Name)","Type (min,max)",Required,"Format / Values"
"`Organisation Path`_ (organisation_path)

",string,yes,"A sequence of colon separated Organisation Keys that fully specifies the Provider Organisation providing a service to the client."
"`Intake Key`_ (intake_key)

","string [2,50]",yes,"This is a number or code assigned to each intake. The Intake Key is unique and stable for each intake at the level of the organisation."
"`Client Key`_ (client_key)

","string [2,50]",yes,"This is a number or code assigned to each individual referred to the commissioned organisation. The client identifier is unique and stable for each individual at the level of the PMHC top level organisation."
"`Intake - Outcome`_ (outcome)

",string,"—",":0: Intake open
:1: Intake closed - client did not require service
:2: Intake closed - client referred to a clinic"
"`Intake - Outcome Date`_ (outcome_date)

","date [dMMyyyy]","—","The date the intake had an outcome"
"`Intake - Contact Date`_ (contact_date)

","date [dMMyyyy]","—","The date on which the client first contacted the intake service"
"`Referral Date`_ (referral_date)

","date [dMMyyyy]","—","The date the referrer made the referral to the intake service."
"`Referrer Profession`_ (referrer_profession)

",string,yes,":1: General Practitioner
:2: Psychiatrist
:3: Obstetrician
:4: Paediatrician
:5: Other Medical Specialist
:6: Midwife
:7: Maternal Health Nurse
:8: Psychologist
:9: Mental Health Nurse
:10: Social Worker
:11: Occupational therapist
:12: Aboriginal Health Worker
:13: Educational professional
:14: Early childhood service worker
:15: Other
:98: N/A - Self referral
:99: Not stated"
"`Referrer Organisation Type`_ (referrer_organisation_type)

",string,yes,":1: General Practice
:2: Medical Specialist Consulting Rooms
:3: Private practice
:4: Public mental health service
:5: Public Hospital
:6: Private Hospital
:7: Emergency Department
:8: Community Health Centre
:9: Drug and Alcohol Service
:10: Community Support Organisation NFP
:11: Indigenous Health Organisation
:12: Child and Maternal Health
:13: Nursing Service
:14: Telephone helpline
:15: Digital health service
:16: Family Support Service
:17: School
:18: Tertiary Education institution
:19: Housing service
:20: Centrelink
:21: Other
:98: N/A - Self referral
:99: Not stated"
"`Referral Out Organisation Type`_ (referral_out_organisation_type)

",string,yes,":0: None/Not applicable
:1: General Practice
:2: Medical Specialist Consulting Rooms
:3: Private practice
:4: Public mental health service
:5: Public Hospital
:6: Private Hospital
:7: Emergency Department
:8: Community Health Centre
:9: Drug and Alcohol Service
:10: Community Support Organisation NFP
:11: Indigenous Health Organisation
:12: Child and Maternal Health
:13: Nursing Service
:14: Telephone helpline
:15: Digital health service
:16: Family Support Service
:17: School
:18: Tertiary Education institution
:19: Housing service
:20: Centrelink
:21: Other
:22: HeadtoHelp Hub
:23: Non HeadtoHelp Hub or AMHC Hub PHN funded service
:24: AMHC Hub
:99: Not stated

Multiple space separated values allowed
"
"`Intake - Funding Source`_ (intake_funding_source)

",string,yes,":1: HeadtoHelp
:2: AMHC"
"`Intake - Tags`_ (intake_tags)

",string,"—","List of tags for the intake."
